Position,Value,Avg. Score Promoted,Avg. Score Not Promoted,Difference,Statistically Significant,Num. Players Promoted,Num. Players Not Promoted,T-Test,P-Value
GK,45,115.2,112.7,2.5,No,19,38,0.28,0.781
DEF,40,65.3,84.7,-19.4,No,7,13,-1.14,0.283
DEF,45,81.1,82.8,-1.7,No,73,179,-0.46,0.649
DEF,50,82.2,94.8,-12.6,No,6,135,-0.74,0.492
MID,45,81.0,76.9,4.1,No,17,41,0.67,0.506
MID,50,78.0,90.6,-12.6,Yes,24,121,-2.92,0.005
MID,55,97.2,98.1,-0.9,No,24,116,-0.14,0.887
MID,60,109.0,110.8,-1.8,No,7,56,-0.15,0.886
MID,65,116.5,129.6,-13.1,No,2,41,-0.57,0.664
FWD,60,108.9,118.1,-9.2,No,8,18,-0.76,0.458
FWD,65,121.6,120.4,1.1,No,7,21,0.13,0.897
